dados_google_querodelivery
3 de Maio de 2022 - 31 de Maio de 2022
Campanha,Tipo de campanha,Dia,Cidade (local geográfico),Código da moeda,Cliques,Impr.,CTR,CPC médio,Custo,Conversões,Custo / conv.,Taxa de conv.
[download]Manutencao_Marketing_geral,App,2022-05-14,Recife,BRL,14,916,"1,53%","0,22","3,14","4,00","0,78","28,57%"
[download]Manutencao_Marketing_geral,App,2022-05-29,Jequié,BRL,3,393,"0,76%","0,18","0,55","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-06,Taquaritinga,BRL,2,63,"3,17%","0,08","0,16","1,00","0,16","50,00%"
[download]Manutencao_Marketing_geral,App,2022-05-29,Pirassununga,BRL,4,90,"4,44%","0,14","0,54","1,00","0,54","25,00%"
[download]Manutencao_Marketing_geral,App,2022-05-31,Rio Largo,BRL,2,168,"1,19%","0,35","0,70","1,00","0,70","50,00%"
[download]Manutencao_Marketing_geral,App,2022-05-07,Itapetinga,BRL,6,100,"6,00%","0,15","0,90","2,00","0,45","33,33%"
[download]Manutencao_Marketing_geral,App,2022-05-25,Queimadas,BRL,0,1,"0,00%", --,"0,00","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-05-19,Rolândia,BRL,2,43,"4,65%","0,16","0,33","1,00","0,33","33,33%"
[download]Manutencao_Marketing_geral,App,2022-05-04,Propriá,BRL,1,21,"4,76%","0,02","0,02","1,00","0,02","100,00%"
[download]Manutencao_Marketing_geral,App,2022-05-06,São Cristóvão,BRL,1,54,"1,85%","0,19","0,19","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-12,Dias d'Ávila,BRL,0,67,"0,00%", --,"0,00","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-05-15,Monteiro,BRL,5,48,"10,42%","0,27","1,33","5,00","0,27","62,50%"
[download]Manutencao_Marketing_geral,App,2022-05-22,Jandira,BRL,4,224,"1,79%","0,08","0,31","2,00","0,16","40,00%"
[download]Manutencao_Marketing_geral,App,2022-05-06,Santo Antônio de Jesus,BRL,19,187,"10,16%","0,19","3,59","13,00","0,28","65,00%"
[download]Manutencao_Marketing_geral,App,2022-05-12,Aracaju,BRL,7,721,"0,97%","0,17","1,21","3,00","0,40","42,86%"
[download]Manutencao_Marketing_geral,App,2022-05-04,Senhor do Bonfim,BRL,0,51,"0,00%", --,"0,00","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-05-21,Aracaju,BRL,15,1.116,"1,34%","0,24","3,59","8,00","0,45","12,31%"
[download]Manutencao_Marketing_geral,App,2022-05-22,Itabaianinha,BRL,3,131,"2,29%","0,13","0,39","3,00","0,13","42,86%"
[download]Manutencao_Marketing_geral,App,2022-05-03,Serra Talhada,BRL,23,206,"11,17%","0,22","5,16","22,00","0,23","91,67%"
[download]Manutencao_Marketing_geral,App,2022-05-27,Itanhaém,BRL,2,144,"1,39%","0,08","0,15","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-23,Igarassu,BRL,2,132,"1,52%","0,38","0,76","1,00","0,76","50,00%"
[download]Manutencao_Marketing_geral,App,2022-05-24,Cabedelo,BRL,1,64,"1,56%","0,09","0,09","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-21,Cabo de Santo Agostinho,BRL,2,257,"0,78%","0,10","0,20","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-09,Catolé do Rocha,BRL,1,29,"3,45%","0,27","0,27","1,00","0,27","100,00%"
[download]Manutencao_Marketing_geral,App,2022-05-18,Santana do Ipanema,BRL,7,96,"7,29%","0,10","0,72","3,00","0,24","27,27%"
[download]Manutencao_Marketing_geral,App,2022-05-28,Vinhedo,BRL,1,103,"0,97%","0,04","0,04","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-06,Leme,BRL,1,80,"1,25%","0,14","0,14","1,00","0,14","100,00%"
