dados_google_querodelivery
3 de Maio de 2022 - 31 de Maio de 2022
Campanha,Tipo de campanha,Dia,Cidade (local geográfico),Código da moeda,Cliques,Impr.,CTR,CPC médio,Custo,Conversões,Custo / conv.,Taxa de conv.
[download]Manutencao_Marketing_geral,App,2022-05-08,Farroupilha,BRL,2,31,"6,45%","0,30","0,60","1,00","0,60","50,00%"
[download]Manutencao_Marketing_geral,App,2022-05-06,Itabaianinha,BRL,2,55,"3,64%","0,09","0,17","1,00","0,17","50,00%"
[download]Manutencao_Marketing_geral,App,2022-05-13,Salgueiro,BRL,11,130,"8,46%","0,17","1,83","8,00","0,23","72,73%"
[download]Manutencao_Marketing_geral,App,2022-05-03,Brumado,BRL,1,55,"1,82%","0,10","0,10","1,00","0,10","20,00%"
[download]Manutencao_Marketing_geral,App,2022-05-23,Paudalho,BRL,0,10,"0,00%", --,"0,00","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-05-08,Monteiro,BRL,6,40,"15,00%","0,12","0,72","5,00","0,14","83,33%"
[download]Manutencao_Marketing_geral,App,2022-05-21,Picos,BRL,17,348,"4,89%","0,22","3,68","12,00","0,31","22,22%"
[download]Manutencao_Marketing_geral,App,2022-05-28,Irecê,BRL,30,174,"17,24%","0,18","5,26","31,00","0,17","40,79%"
[download]Manutencao_Marketing_geral,App,2022-05-04,Belo Jardim,BRL,6,97,"6,19%","0,13","0,77","6,00","0,13","75,00%"
[download]Manutencao_Marketing_geral,App,2022-05-25,Abreu e Lima,BRL,6,144,"4,17%","0,09","0,53","3,00","0,18","42,86%"
[download]Manutencao_Marketing_geral,App,2022-05-05,Espírito Santo do Pinhal,BRL,0,29,"0,00%", --,"0,00","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-05-10,São Miguel dos Campos,BRL,0,87,"0,00%", --,"0,00","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-05-12,Itaberaba,BRL,2,54,"3,70%","0,09","0,18","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-28,Estância,BRL,31,279,"11,11%","0,16","4,94","27,00","0,18","36,00%"
[download]Manutencao_Marketing_geral,App,2022-05-12,Icó,BRL,0,76,"0,00%", --,"0,00","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-05-03,Paulo Afonso,BRL,10,167,"5,99%","0,21","2,09","8,00","0,26","72,73%"
[download]Manutencao_Marketing_geral,App,2022-05-14,Paulo Afonso,BRL,15,178,"8,43%","0,21","3,22","9,00","0,36","50,00%"
[download]Manutencao_Marketing_geral,App,2022-05-15,Patos,BRL,25,245,"10,20%","0,21","5,16","14,00","0,37","45,16%"
[download]Manutencao_Marketing_geral,App,2022-05-04,Itabaiana,BRL,21,162,"12,96%","0,22","4,65","17,00","0,27","80,95%"
[download]Manutencao_Marketing_geral,App,2022-05-12,Cambé,BRL,2,92,"2,17%","0,06","0,12","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-08,Rolândia,BRL,2,63,"3,17%","0,11","0,22","1,00","0,22","50,00%"
[download]Manutencao_Marketing_geral,App,2022-05-31,Guarabira,BRL,10,112,"8,93%","0,13","1,31","5,00","0,26","45,45%"
[download]Manutencao_Marketing_geral,App,2022-05-07,Itaberaba,BRL,10,90,"11,11%","0,10","1,04","6,00","0,17","60,00%"
[download]Manutencao_Marketing_geral,App,2022-05-31,Bezerros,BRL,2,173,"1,16%","0,18","0,35","2,00","0,18","100,00%"
[download]Manutencao_Marketing_geral,App,2022-05-09,Araras,BRL,0,94,"0,00%", --,"0,00","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-05-31,Paulo Afonso,BRL,12,240,"5,00%","0,17","2,05","10,00","0,20","62,50%"
[download]Manutencao_Marketing_geral,App,2022-05-11,Lorena,BRL,2,85,"2,35%","0,17","0,33","1,00","0,33","50,00%"
[download]Manutencao_Marketing_geral,App,2022-05-09,Lagarto,BRL,36,226,"15,93%","0,26","9,39","29,00","0,32","78,38%"
[download]Manutencao_Marketing_geral,App,2022-05-18,Lagarto,BRL,28,253,"11,07%","0,09","2,66","27,00","0,10","87,10%"
[download]Manutencao_Marketing_geral,App,2022-05-24,Teixeira de Freitas,BRL,2,169,"1,18%","0,27","0,54","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-31,Tobias Barreto,BRL,31,203,"15,27%","0,18","5,48","24,00","0,23","66,67%"
[download]Manutencao_Marketing_geral,App,2022-05-16,Santo Antônio de Jesus,BRL,8,194,"4,12%","0,16","1,31","6,00","0,22","42,86%"
[download]Manutencao_Marketing_geral,App,2022-05-31,Guaratinguetá,BRL,6,191,"3,14%","0,23","1,37","3,00","0,46","50,00%"
[download]Manutencao_Marketing_geral,App,2022-05-25,Paulo Afonso,BRL,21,245,"8,57%","0,21","4,36","18,00","0,24","66,67%"
[download]Manutencao_Marketing_geral,App,2022-05-04,Madre de Deus,BRL,2,24,"8,33%","0,03","0,07","1,00","0,07","50,00%"
[download]Manutencao_Marketing_geral,App,2022-05-20,Feira de Santana,BRL,7,651,"1,08%","0,21","1,49","2,00","0,75","11,76%"
[download]Manutencao_Marketing_geral,App,2022-05-08,Belo Jardim,BRL,8,110,"7,27%","0,20","1,62","7,00","0,23","87,50%"
[download]Manutencao_Marketing_geral,App,2022-05-31,Rolândia,BRL,1,46,"2,17%","0,11","0,11","1,00","0,11","100,00%"
[download]Manutencao_Marketing_geral,App,2022-05-30,Catolé do Rocha,BRL,1,28,"3,57%","0,05","0,05","1,00","0,05","50,00%"
[download]Manutencao_Marketing_geral,App,2022-05-20,Cabedelo,BRL,1,71,"1,41%","0,11","0,11","1,00","0,11","33,33%"
[download]Manutencao_Marketing_geral,App,2022-05-16,Ipirá,BRL,7,53,"13,21%","0,13","0,92","6,00","0,15","66,67%"
[download]Manutencao_Marketing_geral,App,2022-05-24,Guaratinguetá,BRL,7,183,"3,83%","0,11","0,78","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-26,Seabra,BRL,7,59,"11,86%","0,10","0,67","4,00","0,17","26,67%"
[download]Manutencao_Marketing_geral,App,2022-05-13,Araripina,BRL,10,66,"15,15%","0,22","2,23","7,00","0,32","70,00%"
[download]Manutencao_Marketing_geral,App,2022-05-29,Juazeiro,BRL,9,201,"4,48%","0,17","1,55","5,00","0,31","55,56%"
[download]Manutencao_Marketing_geral,App,2022-05-06,Penedo,BRL,1,113,"0,88%","0,06","0,06","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-16,Pesqueira,BRL,0,36,"0,00%", --,"0,01","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-05-16,Surubim,BRL,0,47,"0,00%", --,"0,00","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-05-23,Embu das Artes,BRL,2,281,"0,71%","0,07","0,14","1,00","0,14","50,00%"
[download]Manutencao_Marketing_geral,App,2022-05-22,Belo Jardim,BRL,20,243,"8,23%","0,23","4,55","17,00","0,27","25,00%"
[download]Manutencao_Marketing_geral,App,2022-05-03,Igarassu,BRL,1,55,"1,82%","0,21","0,21","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-21,Igarassu,BRL,2,161,"1,24%","0,29","0,59","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-17,Arcoverde,BRL,13,102,"12,75%","0,10","1,26","11,00","0,11","68,75%"
[download]Manutencao_Marketing_geral,App,2022-05-11,Propriá,BRL,0,9,"0,00%", --,"0,00","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-05-26,Dias d'Ávila,BRL,3,74,"4,05%","0,45","1,36","4,00","0,34","66,67%"
[download]Manutencao_Marketing_geral,App,2022-05-31,Pirassununga,BRL,1,50,"2,00%","0,12","0,12","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-28,Surubim,BRL,2,109,"1,83%","0,13","0,25","1,00","0,25","33,33%"
[download]Manutencao_Marketing_geral,App,2022-05-04,Cambé,BRL,0,76,"0,00%", --,"0,00","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-05-05,Valença,BRL,7,108,"6,48%","0,19","1,31","5,00","0,26","71,43%"
[download]Manutencao_Marketing_geral,App,2022-05-16,Moreno,BRL,2,32,"6,25%","0,06","0,13","1,00","0,13","50,00%"
[download]Manutencao_Marketing_geral,App,2022-05-04,Jandira,BRL,5,137,"3,65%","0,05","0,25","1,00","0,25","20,00%"
[download]Manutencao_Marketing_geral,App,2022-05-23,São Miguel dos Campos,BRL,1,81,"1,23%","0,25","0,25","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-04,Guarabira,BRL,1,104,"0,96%","0,45","0,45","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-10,Eunápolis,BRL,2,143,"1,40%","0,10","0,19","1,00","0,19","50,00%"
[download]Manutencao_Marketing_geral,App,2022-05-03,Eunápolis,BRL,5,87,"5,75%","0,21","1,04","2,00","0,52","33,33%"
[download]Manutencao_Marketing_geral,App,2022-05-04,Caicó,BRL,6,78,"7,69%","0,19","1,16","6,00","0,19","100,00%"
[download]Manutencao_Marketing_geral,App,2022-05-16,Picos,BRL,20,208,"9,62%","0,12","2,42","14,00","0,17","66,67%"
[download]Manutencao_Marketing_geral,App,2022-05-03,Jandira,BRL,0,176,"0,00%", --,"0,00","1,00","0,00",0
[download]Manutencao_Marketing_geral,App,2022-05-12,Recife,BRL,12,508,"2,36%","0,16","1,98","5,00","0,40","38,46%"
[download]Manutencao_Marketing_geral,App,2022-05-24,Paulo Afonso,BRL,13,260,"5,00%","0,24","3,11","9,00","0,35","60,00%"
[download]Manutencao_Marketing_geral,App,2022-05-23,Santa Rita,BRL,4,234,"1,71%","0,15","0,60","1,00","0,60","16,67%"
[download]Manutencao_Marketing_geral,App,2022-05-12,Espírito Santo do Pinhal,BRL,1,3,"33,33%","0,29","0,29","1,00","0,29","100,00%"
[download]Manutencao_Marketing_geral,App,2022-05-16,Brumado,BRL,4,54,"7,41%","0,14","0,56","2,00","0,28","50,00%"
[download]Manutencao_Marketing_geral,App,2022-05-27,Monteiro,BRL,2,104,"1,92%","0,32","0,64","3,00","0,21","12,00%"
[download]Manutencao_Marketing_geral,App,2022-05-03,Surubim,BRL,0,23,"0,00%", --,"0,00","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-05-27,Farroupilha,BRL,6,76,"7,89%","0,19","1,12","4,00","0,28","57,14%"
[download]Manutencao_Marketing_geral,App,2022-05-25,Sousa,BRL,24,204,"11,76%","0,11","2,68","16,00","0,17","53,33%"
[download]Manutencao_Marketing_geral,App,2022-05-08,Simão Dias,BRL,23,109,"21,10%","0,23","5,36","16,00","0,34","66,67%"
[download]Manutencao_Marketing_geral,App,2022-05-23,Atalaia,BRL,0,15,"0,00%", --,"0,08","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-27,Propriá,BRL,2,42,"4,76%","0,28","0,57","1,00","0,57","50,00%"
[download]Manutencao_Marketing_geral,App,2022-05-17,Toritama,BRL,4,19,"21,05%","0,18","0,71","3,00","0,24","75,00%"
[download]Manutencao_Marketing_geral,App,2022-05-25,Guaratinguetá,BRL,3,162,"1,85%","0,30","0,91","2,00","0,46","66,67%"
[download]Manutencao_Marketing_geral,App,2022-05-05,Araras,BRL,0,107,"0,00%", --,"0,00","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-05-29,Irecê,BRL,22,129,"17,05%","0,23","5,09","20,00","0,25","43,48%"
[download]Manutencao_Marketing_geral,App,2022-05-15,Araripina,BRL,31,94,"32,98%","0,23","7,08","24,00","0,30","61,54%"
[download]Manutencao_Marketing_geral,App,2022-05-23,Arapiraca,BRL,16,497,"3,22%","0,19","3,06","12,00","0,26","30,00%"
[download]Manutencao_Marketing_geral,App,2022-05-10,Igarassu,BRL,2,78,"2,56%","0,08","0,17","1,00","0,17","50,00%"
[download]Manutencao_Marketing_geral,App,2022-05-15,Madre de Deus,BRL,1,29,"3,45%","0,10","0,10","1,00","0,10","100,00%"
[download]Manutencao_Marketing_geral,App,2022-05-04,Tianguá,BRL,0,1,"0,00%", --,"0,00","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-05-25,Catu,BRL,1,45,"2,22%","0,48","0,48","1,00","0,48","100,00%"
[download]Manutencao_Marketing_geral,App,2022-05-24,Salto de Pirapora,BRL,0,33,"0,00%", --,"0,00","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-05-19,Teixeira de Freitas,BRL,2,150,"1,33%","0,07","0,14","1,00","0,14","50,00%"
[download]Manutencao_Marketing_geral,App,2022-05-23,Queimadas,BRL,0,1,"0,00%", --,"0,00","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-05-14,Queimadas,BRL,0,1,"0,00%", --,"0,00","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-05-10,Santo Antônio de Jesus,BRL,7,184,"3,80%","0,12","0,81","7,00","0,12","100,00%"
[download]Manutencao_Marketing_geral,App,2022-05-16,Guaratinguetá,BRL,2,70,"2,86%","0,05","0,11","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-05,Araripina,BRL,7,62,"11,29%","0,21","1,46","6,00","0,24","85,71%"
[download]Manutencao_Marketing_geral,App,2022-05-18,Senhor do Bonfim,BRL,1,78,"1,28%","0,30","0,30","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-07,Santa Rita,BRL,4,199,"2,01%","0,22","0,89","1,00","0,89","25,00%"
[download]Manutencao_Marketing_geral,App,2022-05-31,Serra Talhada,BRL,49,313,"15,65%","0,12","5,82","34,00","0,17","69,39%"
[download]Manutencao_Marketing_geral,App,2022-05-15,Itapevi,BRL,2,66,"3,03%","0,12","0,24","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-12,Sousa,BRL,9,142,"6,34%","0,14","1,25","5,00","0,25","50,00%"
[download]Manutencao_Marketing_geral,App,2022-05-18,Propriá,BRL,4,23,"17,39%","0,12","0,46","1,00","0,46","25,00%"
[download]Manutencao_Marketing_geral,App,2022-05-12,Cajazeiras,BRL,13,84,"15,48%","0,22","2,80","12,00","0,23","92,31%"
[download]Manutencao_Marketing_geral,App,2022-05-30,Lagarto,BRL,41,335,"12,24%","0,13","5,28","31,00","0,17","58,49%"
[download]Manutencao_Marketing_geral,App,2022-05-13,Palmeira dos Índios,BRL,7,106,"6,60%","0,11","0,74","5,00","0,15","62,50%"
[download]Manutencao_Marketing_geral,App,2022-05-09,Seabra,BRL,5,28,"17,86%","0,23","1,13","5,00","0,23","83,33%"
[download]Manutencao_Marketing_geral,App,2022-05-28,Cascavel,BRL,5,86,"5,81%","0,29","1,44","4,00","0,36","18,18%"
[download]Manutencao_Marketing_geral,App,2022-05-06,Itapetinga,BRL,1,59,"1,69%","0,03","0,03","1,00","0,03","100,00%"
[download]Manutencao_Marketing_geral,App,2022-05-13,Itapetinga,BRL,4,80,"5,00%","0,09","0,37","4,00","0,09","100,00%"
[download]Manutencao_Marketing_geral,App,2022-05-31,Teixeira de Freitas,BRL,3,168,"1,79%","0,25","0,74","1,00","0,74","33,33%"
[download]Manutencao_Marketing_geral,App,2022-05-15,Simão Dias,BRL,15,81,"18,52%","0,27","3,99","14,00","0,28","73,68%"
[download]Manutencao_Marketing_geral,App,2022-05-05,Itaberaba,BRL,7,63,"11,11%","0,16","1,10","6,00","0,18","85,71%"
[download]Manutencao_Marketing_geral,App,2022-05-16,São Cristóvão,BRL,1,45,"2,22%","0,47","0,47","1,00","0,47","100,00%"
[download]Manutencao_Marketing_geral,App,2022-05-08,São Cristóvão,BRL,3,87,"3,45%","0,17","0,50","2,00","0,25","66,67%"
[download]Manutencao_Marketing_geral,App,2022-05-08,Aparecida,BRL,0,20,"0,00%", --,"0,00","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-05-11,Bezerros,BRL,1,216,"0,46%","0,16","0,16","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-11,Recife,BRL,7,412,"1,70%","0,15","1,04","4,00","0,26","57,14%"
[download]Manutencao_Marketing_geral,App,2022-05-16,Seabra,BRL,10,42,"23,81%","0,17","1,70","7,00","0,24","70,00%"
[download]Manutencao_Marketing_geral,App,2022-05-31,Itabaianinha,BRL,7,78,"8,97%","0,11","0,79","4,00","0,20","50,00%"
[download]Manutencao_Marketing_geral,App,2022-05-11,Juazeiro,BRL,2,84,"2,38%","0,06","0,12","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-18,Caruaru,BRL,10,695,"1,44%","0,17","1,65","2,00","0,83","18,18%"
[download]Manutencao_Marketing_geral,App,2022-05-23,Itapetinga,BRL,7,86,"8,14%","0,07","0,46","4,00","0,11","40,00%"
[download]Manutencao_Marketing_geral,App,2022-05-14,Pesqueira,BRL,1,48,"2,08%","0,06","0,06","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-23,Caicó,BRL,9,209,"4,31%","0,22","1,97","3,00","0,66","13,04%"
[download]Manutencao_Marketing_geral,App,2022-05-31,Abreu e Lima,BRL,4,110,"3,64%","0,24","0,95","2,00","0,47","50,00%"
[download]Manutencao_Marketing_geral,App,2022-05-16,Abreu e Lima,BRL,7,86,"8,14%","0,12","0,87","4,00","0,22","50,00%"
[download]Manutencao_Marketing_geral,App,2022-05-27,Timbaúba,BRL,0,76,"0,00%", --,"0,00","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-05-20,Catu,BRL,7,80,"8,75%","0,12","0,86","3,00","0,29","20,00%"
[download]Manutencao_Marketing_geral,App,2022-05-11,Serrinha,BRL,9,129,"6,98%","0,25","2,21","9,00","0,25","90,00%"
[download]Manutencao_Marketing_geral,App,2022-05-30,Salgueiro,BRL,14,137,"10,22%","0,09","1,25","8,00","0,16","33,33%"
[download]Manutencao_Marketing_geral,App,2022-05-12,Santa Cruz do Capibaribe,BRL,22,98,"22,45%","0,18","4,04","14,00","0,29","63,64%"
[download]Manutencao_Marketing_geral,App,2022-05-04,Catolé do Rocha,BRL,1,26,"3,85%","0,24","0,24","1,00","0,24","100,00%"
[download]Manutencao_Marketing_geral,App,2022-05-16,Catolé do Rocha,BRL,1,11,"9,09%","0,20","0,20","1,00","0,20","100,00%"
[download]Manutencao_Marketing_geral,App,2022-05-17,Guarabira,BRL,7,91,"7,69%","0,15","1,05","2,00","0,53","28,57%"
[download]Manutencao_Marketing_geral,App,2022-05-23,Currais Novos,BRL,1,62,"1,61%","0,05","0,05","1,00","0,05","50,00%"
[download]Manutencao_Marketing_geral,App,2022-05-03,Arapiraca,BRL,20,338,"5,92%","0,14","2,79","13,00","0,21","65,00%"
[download]Manutencao_Marketing_geral,App,2022-05-23,Farroupilha,BRL,1,30,"3,33%","0,10","0,10","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-31,Itabaiana,BRL,49,276,"17,75%","0,13","6,42","30,00","0,21","60,00%"
[download]Manutencao_Marketing_geral,App,2022-05-11,Garanhuns,BRL,5,181,"2,76%","0,15","0,75","1,00","0,75","20,00%"
[download]Manutencao_Marketing_geral,App,2022-05-07,Rolândia,BRL,0,53,"0,00%", --,"0,00","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-05-08,Caruaru,BRL,12,512,"2,34%","0,07","0,80","5,00","0,16","41,67%"
[download]Manutencao_Marketing_geral,App,2022-05-08,Salgueiro,BRL,12,93,"12,90%","0,13","1,54","12,00","0,13","100,00%"
[download]Manutencao_Marketing_geral,App,2022-05-31,Pombal,BRL,5,76,"6,58%","0,06","0,31","3,00","0,10","50,00%"
[download]Manutencao_Marketing_geral,App,2022-05-10,Lajedo,BRL,1,24,"4,17%","0,15","0,15","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-13,Lajedo,BRL,0,29,"0,00%", --,"0,00","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-05-15,Timbaúba,BRL,1,60,"1,67%","0,26","0,26","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-16,Pilar,BRL,2,42,"4,76%","0,05","0,09","1,00","0,09","33,33%"
[download]Manutencao_Marketing_geral,App,2022-05-26,Abreu e Lima,BRL,1,99,"1,01%","0,13","0,13","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-31,Cabedelo,BRL,0,69,"0,00%", --,"0,00","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-05-26,Catu,BRL,5,69,"7,25%","0,21","1,03","2,00","0,51","25,00%"
[download]Manutencao_Marketing_geral,App,2022-05-31,Santa Rita,BRL,6,251,"2,39%","0,32","1,90","4,00","0,48","66,67%"
[download]Manutencao_Marketing_geral,App,2022-05-22,Irecê,BRL,24,229,"10,48%","0,17","4,15","22,00","0,19","23,16%"
[download]Manutencao_Marketing_geral,App,2022-05-30,Igarassu,BRL,5,138,"3,62%","0,26","1,28","4,00","0,32","80,00%"
[download]Manutencao_Marketing_geral,App,2022-05-19,Igarassu,BRL,1,97,"1,03%","0,48","0,48","1,00","0,48","100,00%"
[download]Manutencao_Marketing_geral,App,2022-05-04,Salto de Pirapora,BRL,0,22,"0,00%", --,"0,00","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-05-25,Santana do Ipanema,BRL,6,85,"7,06%","0,16","0,94","5,00","0,19","45,45%"
[download]Manutencao_Marketing_geral,App,2022-05-28,Tucuruí,BRL,1,179,"0,56%","0,12","0,12","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-18,Pilar,BRL,3,47,"6,38%","0,08","0,25","2,00","0,12","66,67%"
[download]Manutencao_Marketing_geral,App,2022-05-27,Pilar,BRL,4,90,"4,44%","0,30","1,19","3,00","0,40","21,43%"
[download]Manutencao_Marketing_geral,App,2022-05-14,Atalaia,BRL,1,9,"11,11%","0,13","0,13","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-31,Paudalho,BRL,2,35,"5,71%","0,77","1,54","1,00","1,54","50,00%"
[download]Manutencao_Marketing_geral,App,2022-05-10,Ipirá,BRL,8,45,"17,78%","0,21","1,66","4,00","0,42","50,00%"
[download]Manutencao_Marketing_geral,App,2022-05-18,Nossa Senhora do Socorro,BRL,2,164,"1,22%","0,09","0,18","1,00","0,18","50,00%"
[download]Manutencao_Marketing_geral,App,2022-05-05,Guaratinguetá,BRL,3,199,"1,51%","0,03","0,09","1,00","0,09","33,33%"
[download]Manutencao_Marketing_geral,App,2022-05-19,Paulo Afonso,BRL,16,334,"4,79%","0,26","4,16","10,00","0,42","27,03%"
[download]Manutencao_Marketing_geral,App,2022-05-20,Embu das Artes,BRL,3,301,"1,00%","0,10","0,30","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-12,Lorena,BRL,2,79,"2,53%","0,09","0,17","2,00","0,09","100,00%"
[download]Manutencao_Marketing_geral,App,2022-05-18,Itabaianinha,BRL,5,72,"6,94%","0,11","0,56","5,00","0,11","100,00%"
[download]Manutencao_Marketing_geral,App,2022-05-12,Petrolina,BRL,4,271,"1,48%","0,13","0,51","2,00","0,25","50,00%"
[download]Manutencao_Marketing_geral,App,2022-05-21,São Cristóvão,BRL,4,92,"4,35%","0,23","0,92","2,00","0,46","12,50%"
[download]Manutencao_Marketing_geral,App,2022-05-24,Cascavel,BRL,4,57,"7,02%","0,03","0,11","4,00","0,03","100,00%"
[download]Manutencao_Marketing_geral,App,2022-05-12,Currais Novos,BRL,2,82,"2,44%","0,12","0,24","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-13,Arcoverde,BRL,16,92,"17,39%","0,22","3,48","15,00","0,23","93,75%"
[download]Manutencao_Marketing_geral,App,2022-05-28,Santo Antônio de Jesus,BRL,27,360,"7,50%","0,31","8,31","21,00","0,40","28,00%"
[download]Manutencao_Marketing_geral,App,2022-05-07,Caicó,BRL,4,92,"4,35%","0,23","0,93","3,00","0,31","75,00%"
[download]Manutencao_Marketing_geral,App,2022-05-26,Carpina,BRL,13,200,"6,50%","0,21","2,68","8,00","0,33","20,00%"
[download]Manutencao_Marketing_geral,App,2022-05-04,Pirassununga,BRL,0,67,"0,00%", --,"0,00","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-05-03,São Cristóvão,BRL,1,41,"2,44%","0,02","0,02","1,00","0,02","100,00%"
[download]Manutencao_Marketing_geral,App,2022-05-05,Cajazeiras,BRL,9,70,"12,86%","0,11","1,03","5,00","0,21","55,56%"
[download]Manutencao_Marketing_geral,App,2022-05-22,Cascavel,BRL,7,80,"8,75%","0,13","0,90","7,00","0,13","38,89%"
[download]Manutencao_Marketing_geral,App,2022-05-25,Atalaia,BRL,2,22,"9,09%","0,10","0,20","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-27,Pombal,BRL,6,127,"4,72%","0,17","1,04","4,00","0,26","21,05%"
[download]Manutencao_Marketing_geral,App,2022-05-06,Iguatu,BRL,11,124,"8,87%","0,16","1,76","10,00","0,18","83,33%"
[download]Manutencao_Marketing_geral,App,2022-05-10,Lagarto,BRL,34,220,"15,45%","0,22","7,45","29,00","0,26","85,29%"
[download]Manutencao_Marketing_geral,App,2022-05-08,Santa Inês,BRL,3,99,"3,03%","0,26","0,77","3,00","0,26","100,00%"
[download]Manutencao_Marketing_geral,App,2022-05-27,Jacobina,BRL,7,127,"5,51%","0,23","1,59","4,00","0,40","57,14%"
[download]Manutencao_Marketing_geral,App,2022-05-10,Paulista,BRL,2,287,"0,70%","0,05","0,11","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-03,Ipirá,BRL,7,40,"17,50%","0,17","1,19","4,00","0,30","57,14%"
[download]Manutencao_Marketing_geral,App,2022-05-18,Petrolina,BRL,10,469,"2,13%","0,32","3,18","3,00","1,06","27,27%"
[download]Manutencao_Marketing_geral,App,2022-05-22,Feira de Santana,BRL,12,955,"1,26%","0,15","1,78","5,00","0,36","25,00%"
[download]Manutencao_Marketing_geral,App,2022-05-17,Madre de Deus,BRL,0,19,"0,00%", --,"0,00","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-05-24,Madre de Deus,BRL,1,28,"3,57%","0,56","0,56","1,00","0,56","100,00%"
[download]Manutencao_Marketing_geral,App,2022-05-22,Cambé,BRL,1,123,"0,81%","0,14","0,14","0,00", --,"0,00%"
[download]Manutencao_Marketing_geral,App,2022-05-28,Picos,BRL,21,281,"7,47%","0,15","3,19","15,00","0,21","35,71%"
[download]Manutencao_Marketing_geral,App,2022-05-18,Penedo,BRL,0,74,"0,00%", --,"0,00","0,00", --,0
[download]Manutencao_Marketing_geral,App,2022-05-31,Pojuca,BRL,19,81,"23,46%","0,06","1,20","16,00","0,07","84,21%"
[download]Manutencao_Marketing_geral,App,2022-05-09,Vitória de Santo Antão,BRL,11,215,"5,12%","0,15","1,63","6,00","0,27","54,55%"
[download]Manutencao_Marketing_geral,App,2022-05-06,Vitória de Santo Antão,BRL,9,198,"4,55%","0,09","0,84","4,00","0,21","44,44%"
[download]Manutencao_Marketing_geral,App,2022-05-14,Santa Inês,BRL,9,91,"9,89%","0,08","0,75","3,00","0,25","30,00%"
[download]Manutencao_Marketing_geral,App,2022-05-07,São Cristóvão,BRL,3,46,"6,52%","0,05","0,15","2,00","0,08","66,67%"
[download]Manutencao_Marketing_geral,App,2022-05-21,Cambé,BRL,3,208,"1,44%","0,04","0,13","1,00","0,13","33,33%"
[download]Manutencao_Marketing_geral,App,2022-05-28,Valença,BRL,12,142,"8,45%","0,25","3,01","9,00","0,33","32,14%"
[download]Manutencao_Marketing_geral,App,2022-05-06,Serra Talhada,BRL,49,233,"21,03%","0,15","7,52","42,00","0,18","85,71%"
